,k,obs_mean,obs_max,obs_min,10_myr,20_myr,30_myr,40_myr,50_myr,60_myr,70_myr,80_myr
27,0.08392,0.10692222222222222,0.2091111111111111,0.0,0.021458632201750732,0.02233623284887498,0.02229533961406964,0.022058435780726162,0.02140535001261578,0.029448756168447315,0.03224870469725633,0.034075838876134384
28,0.09242,0.133,0.25555555555555554,0.0,0.019482064491563724,0.020280895492134434,0.020242818658645797,0.02002596065904077,0.019454899449514177,0.027563436819312895,0.02979940022951406,0.03133019700957011
29,0.1018,0.17,0.3151111111111111,0.0,0.017673687461083117,0.018400456852308802,0.018365023326160062,0.01816676994806628,0.01768351462184053,0.025699960608441624,0.027370738148144294,0.028691953563475186
30,0.1121,0.21422222222222223,0.3933333333333333,0.0,0.016024110946031178,0.016685072205286325,0.016652127910358708,0.016471104746877272,0.016079037676482392,0.02386546704928431,0.025011740903893655,0.026184089466790007
31,0.1234,0.2644444444444444,0.48777777777777775,0.0,0.014576976348963388,0.015180088220740358,0.015149406068816547,0.014983719614082085,0.01468225705638188,0.022150790571798838,0.02284968819546442,0.023914446831291833
32,0.1359,0.3237777777777778,0.6018888888888889,0.0,0.013244381966742479,0.01379399830494118,0.013765506018881019,0.013614150135438813,0.013403209884917524,0.020462920118737092,0.02078353399657449,0.021766812674405507
33,0.1497,0.4021111111111111,0.7587777777777778,0.0,0.011991468001608238,0.012490507060845599,0.012464192494437074,0.01232649516115625,0.012204924872792344,0.018769431838388993,0.018780290317643285,0.019700373735700594
34,0.1649,0.5116666666666667,0.931888888888889,0.0,0.010890201801555793,0.011344524515903523,0.011320228788747307,0.01119467700762651,0.01115684648283962,0.01720924642745189,0.016989521807013963,0.017857459576375988
35,0.1816,0.6626666666666666,1.2066666666666668,0.0,0.009888963191057617,0.010302375536876318,0.010280011701017472,0.010165610631719006,0.010205691974459957,0.015725840897485608,0.015339387936824463,0.016162507480110066
36,0.2,0.8587777777777778,1.55,0.0,0.008976860852558416,0.009352779256529303,0.009332256984570485,0.009228095148197729,0.009339227984664723,0.01432297767600073,0.013824133277760936,0.014606928840575295
